id_plant,date,weight_kg,timing,dryW_kg,phyto,treatment_co2,water_treatment,plant_in_pot
3,29/04/2021,6.7345,2_after watering,4.30181,2,ambient,drought,yes
3,03/05/2021,NA,1_before watering,4.30181,2,ambient,drought,yes
3,03/05/2021,6.73,2_after watering,4.30181,2,ambient,drought,yes
3,06/05/2021,6.6825,1_before watering,4.30181,2,ambient,drought,yes
3,06/05/2021,6.802,2_after watering,4.30181,2,ambient,drought,yes
3,07/05/2021,6.7285,1_before watering,4.30181,2,ambient,drought,yes
3,10/05/2021,6.652,1_before watering,4.30181,2,ambient,drought,yes
3,10/05/2021,6.8395,2_after watering,4.30181,2,ambient,drought,yes
3,12/05/2021,6.7275,1_before watering,4.30181,2,ambient,drought,yes
3,12/05/2021,6.902,2_after watering,4.30181,2,ambient,drought,yes
3,17/05/2021,6.676,1_before watering,4.30181,2,ambient,drought,yes
3,20/05/2021,6.436,1_before watering,4.30181,2,ambient,drought,yes
3,24/05/2021,6.18,1_before watering,4.30181,2,ambient,drought,yes
3,27/05/2021,6.0235,1_before watering,4.30181,2,ambient,drought,yes
6,30/04/2021,7.155,2_after watering,4.77425,1,elevated,drought,yes
6,04/05/2021,6.9465,1_before watering,4.77425,1,elevated,drought,yes
6,04/05/2021,7.1925,2_after watering,4.77425,1,elevated,drought,yes
6,07/05/2021,7.0115,1_before watering,4.77425,1,elevated,drought,yes
6,07/05/2021,7.1695,2_after watering,4.77425,1,elevated,drought,yes
6,10/05/2021,7.0615,1_before watering,4.77425,1,elevated,drought,yes
6,10/05/2021,7.22,2_after watering,4.77425,1,elevated,drought,yes
6,13/05/2021,7.013,1_before watering,4.77425,1,elevated,drought,yes
6,13/05/2021,7.202,2_after watering,4.77425,1,elevated,drought,yes
6,17/05/2021,7.0555,1_before watering,4.77425,1,elevated,drought,yes
6,20/05/2021,6.873,1_before watering,4.77425,1,elevated,drought,yes
6,24/05/2021,6.687,1_before watering,4.77425,1,elevated,drought,yes
6,27/05/2021,6.4985,1_before watering,4.77425,1,elevated,drought,yes
14,30/04/2021,6.643,2_after watering,4.18168,1,elevated,drought,yes
14,04/05/2021,6.3685,1_before watering,4.18168,1,elevated,drought,yes
14,04/05/2021,6.721,2_after watering,4.18168,1,elevated,drought,yes
14,07/05/2021,6.4915,1_before watering,4.18168,1,elevated,drought,yes
14,07/05/2021,6.8175,2_after watering,4.18168,1,elevated,drought,yes
14,10/05/2021,6.4645,1_before watering,4.18168,1,elevated,drought,yes
