ID,Vol extraccion,Peso,Vol libres,Vol sacarosa,Libres 01,rep_L01,Libres 02,rep_L02,Libres 03,rep_L03,Sacarosa 01,rep_S01,Sacarosa 02,rep_S02,Glucosa libre 02-01,Glucosa libre_rep 02-01,Fructosa_libre 03-02,Fructosa_libre_rep 03-02,Sac 02-01,Sac_rep_02-01,unknow1,unknow2,unknow3,unknow4,Promedio,Desv std,raiz,unknow5
2,500,5.2,60,20,1.240166667,1.26,1.3535,1.374,1.448833333,1.474666667,0.5865,0.529666667,1.302666667,1.202166667,0.113333333,0.114,0.095333333,0.100666667,0.716166667,0.6725,0.694333333,0.113666667,0.037888889,0.656444444,0.670311111,0.106172496,2.236067977,0.047481784
5,500,5.1,60,20,1.204166667,1.268,1.2865,1.303333333,1.281833333,1.329,0.524833333,0.5095,1.342333333,1.353833333,0.082333333,0.035333333,-0.004666667,0.025666667,0.8175,0.844333333,0.830916667,0.058833333,0.019611111,0.811305556,NA,NA,NA,NA
6,500,4.9,60,20,1.252666667,1.308166667,1.432,1.500333333,1.516333333,1.589666667,0.529166667,0.564,1.297666667,1.387166667,0.179333333,0.192166667,0.084333333,0.089333333,0.7685,0.823166667,0.795833333,0.18575,0.061916667,0.733916667,NA,NA,NA,NA
11,500,5.1,60,20,1.453666667,1.472333333,1.518166667,1.550333333,1.5625,1.602333333,0.612,0.597,1.238333333,1.242666667,0.0645,0.078,0.044333333,0.052,0.626333333,0.645666667,0.636,0.07125,0.02375,0.61225,NA,NA,NA,NA
12,500,5.3,60,20,0.673333333,0.673333333,0.710166667,0.720166667,0.750333333,0.768333333,0.3445,0.330333333,0.9045,0.8735,0.036833333,0.046833333,0.040166667,0.048166667,0.56,0.543166667,0.551583333,0.041833333,0.013944444,0.537638889,NA,NA,NA,NA
13,500,5.2,60,20,1.587666667,1.615,1.674333333,1.691333333,1.753,1.757833333,0.643833333,0.659666667,1.316166667,1.335333333,0.086666667,0.076333333,0.078666667,0.0665,0.672333333,0.675666667,0.674,0.0815,0.027166667,0.646833333,0.708244444,0.052544387,2.236067977,0.023498564
14,500,5,60,20,1.155666667,1.179166667,1.290666667,1.327333333,1.400166667,1.4415,0.524166667,0.521666667,1.306333333,1.2915,0.135,0.148166667,0.1095,0.114166667,0.782166667,0.769833333,0.776,0.141583333,0.047194444,0.728805556,NA,NA,NA,NA
18,500,5.3,60,20,1.688166667,1.741166667,1.7965,1.864833333,1.8985,1.967,0.719333333,0.696833333,1.4715,1.421833333,0.108333333,0.123666667,0.102,0.102166667,0.752166667,0.725,0.738583333,0.116,0.038666667,0.699916667,NA,NA,NA,NA
20,500,5.6,60,20,0.873833333,0.882333333,1.0025,1.008333333,1.113166667,1.124,0.416166667,0.401166667,1.1395,1.122833333,0.128666667,0.126,0.110666667,0.115666667,0.723333333,0.721666667,0.7225,0.127333333,0.042444444,0.680055556,NA,NA,NA,NA
21,500,5.6,60,20,1.935833333,1.919833333,2.377833333,2.416666667,2.664166667,2.696333333,0.869333333,0.744833333,1.823666667,1.674666667,0.442,0.496833333,0.286333333,0.279666667,0.954333333,0.929833333,0.942083333,0.469416667,0.156472222,0.785611111,NA,NA,NA,NA
24,500,5.2,60,20,1.023833333,1.032666667,1.048833333,1.063333333,1.085,1.109333333,0.457666667,0.457666667,1.152833333,1.1415,0.025,0.030666667,0.036166667,0.046,0.695166667,0.683833333,0.6895,0.027833333,0.009277778,0.680222222,0.662722222,0.015402922,1.732050808,0.008892881
25,500,5.1,60,20,1.494333333,1.5625,1.593,1.6735,1.683,1.7385,0.628166667,0.649,1.3415,1.308,0.098666667,0.111,0.09,0.065,0.713333333,0.659,0.686166667,0.104833333,0.034944444,0.651222222,NA,NA,NA,NA
28,500,5.3,60,20,1.174333333,1.2395,1.2155,1.2665,1.253333333,1.326166667,0.509833333,0.498833333,1.144666667,1.200166667,0.041166667,0.027,0.037833333,0.059666667,0.634833333,0.701333333,0.668083333,0.034083333,0.011361111,0.656722222,NA,NA,NA,NA
31,500,5.2,60,20,1.695,1.728333333,1.703333333,1.765333333,1.732833333,1.788833333,0.683666667,0.660166667,1.377,1.354,0.008333333,0.037,0.0295,0.0235,0.693333333,0.693833333,0.693583333,0.022666667,0.007555556,0.686027778,0.614518519,0.081865076,1.732050808,0.047264824
34,500,5.2,60,20,1.2065,1.229,1.386666667,1.428,1.540333333,1.588833333,0.519333333,0.502833333,1.113666667,1.085333333,0.180166667,0.199,0.153666667,0.160833333,0.594333333,0.5825,0.588416667,0.189583333,0.063194444,0.525222222,NA,NA,NA,NA
35,500,5.6,60,20,1.1215,1.129333333,1.204,1.2195,1.260166667,1.272833333,0.504833333,0.4935,1.176333333,1.144166667,0.0825,0.090166667,0.056166667,0.053333333,0.6715,0.650666667,0.661083333,0.086333333,0.028777778,0.632305556,NA,NA,NA,NA
36,500,5.6,60,20,0.955333333,0.967333333,1.030166667,1.014166667,1.0185,1.117,0.450333333,0.4475,1.039166667,0.996,0.074833333,0.046833333,-0.011666667,0.102833333,0.588833333,0.5485,0.568666667,0.060833333,0.020277778,0.548388889,0.772027778,0.195148151,2.236067977,0.087272906
37,500,5.4,60,20,0.897166667,0.931833333,0.983166667,1.007666667,1.096333333,1.133333333,0.434,0.4305,1.235166667,0.809,0.086,0.075833333,0.113166667,0.125666667,NA,NA,#DIV/0!,0.080916667,0.026972222,NA,NA,NA,NA,NA
39,500,5.2,60,20,1.050833333,1.0845,1.519,1.566166667,1.833666667,1.899166667,0.5525,0.5185,1.750833333,1.649,0.468166667,0.481666667,0.314666667,0.333,1.198333333,1.1305,1.164416667,0.474916667,0.158305556,1.006111111,NA,NA,NA,NA
40,500,5,60,20,1.2315,1.266166667,1.791333333,1.8335,2.117333333,2.162666667,0.5475,0.5515,1.576333333,1.569,0.559833333,0.567333333,0.326,0.329166667,1.028833333,1.0175,1.023166667,0.563583333,0.187861111,0.835305556,NA,NA,NA,NA
42,500,5.1,60,20,1.1615,1.185333333,1.405333333,1.451166667,1.426666667,1.468833333,0.498833333,0.5165,1.2775,1.304333333,0.243833333,0.265833333,0.021333333,0.017666667,0.778666667,0.787833333,0.78325,0.254833333,0.084944444,0.698305556,NA,NA,NA,NA
44,500,5.6,60,20,1.889666667,1.901666667,2.0825,2.1145,2.229,2.2645,0.776,0.747333333,1.806833333,1.720833333,0.192833333,0.212833333,0.1465,0.15,1.030833333,0.9735,1.002166667,0.202833333,0.067611111,0.934555556,0.669020833,0.669020833,2.236067977,0.299195212
45,500,5.2,60,20,1.228666667,1.271666667,1.293,1.338666667,1.376,1.405,0.538,0.558,0.834333333,0.7625,0.064333333,0.067,0.083,0.066333333,0.296333333,0.2045,0.250416667,0.065666667,0.021888889,0.228527778,NA,NA,NA,NA
46,500,5,60,20,1.302333333,1.300333333,1.334833333,1.353,1.386166667,1.409166667,0.561166667,0.5545,1.329666667,1.347,0.0325,0.052666667,0.051333333,0.056166667,0.7685,0.7925,0.7805,0.042583333,0.014194444,0.766305556,NA,NA,NA,NA
50,500,5.6,60,20,1.132333333,1.250666667,1.209833333,1.337166667,1.2645,1.402,0.532333333,0.5325,0.935166667,1.421166667,0.0775,0.0865,0.054666667,0.064833333,NA,NA,#DIV/0!,0.082,0.027333333,NA,NA,NA,NA,NA
51,500,5.9,60,20,0.8865,0.898333333,1.113166667,1.0145,1.211,1.110166667,0.434833333,0.432333333,1.230166667,1.244666667,0.226666667,0.116166667,0.097833333,0.095666667,0.795333333,0.812333333,0.803833333,0.171416667,0.057138889,0.746694444,NA,NA,NA,NA
52,500,5,60,20,0.928666667,0.903166667,1.052666667,0.974166667,1.110833333,1.036666667,0.447666667,0.4265,0.7665,1.099333333,0.124,0.071,0.058166667,0.0625,NA,NA,#DIV/0!,0.0975,0.0325,NA,0.702805556,0.040737207,1.732050808,0.023519638
54,500,5.5,60,20,0.892333333,0.905833333,0.963166667,0.9735,1.019,1.024666667,0.412666667,0.404833333,1.107333333,1.104333333,0.070833333,0.067666667,0.055833333,0.051166667,0.694666667,0.6995,0.697083333,0.06925,0.023083333,0.674,NA,NA,NA,NA
56,500,5.7,60,20,1.155666667,1.188833333,1.2505,1.241833333,1.269,1.289166667,0.521666667,0.506833333,1.253666667,1.287333333,0.094833333,0.053,0.0185,0.047333333,0.732,0.7805,0.75625,0.073916667,0.024638889,0.731611111,NA,NA,NA,NA
