"ID_plant","phytotron","water_treatment","date","long_Shist","diam_Shist","long_Sphl","diam_Sphl","TW_plant_kg","FW_Sphl","FW_SNSC","FW_Shist","FW_L1phl","FW_L2phl","FW_L3phl","FW_10LNSC","FW_10LSLA","FW_rootNSC","FW_S","FW_L","FW_root","FW_ss_soil","FW_soil_pot_kg","SW_L1phl","SW_L2phl","SW_L3phl","DW_L1phl","DW_L2phl","DW_L3phl","DW_10LSLA","DW_S","DW_L","DW_root","DW_ss_soil","DW_soil","W_pot","OBS","height_cm","stem_width_1_cm","stem_width_2_cm","branching","initial_height_cm","initial_stem_width_1_cm","initial_stem_width_2_cm","initial_branching","area"
2,2,"initial_state",20210504,NA,NA,NA,NA,7.3915,6.2117,0.6429,NA,0.1305,0.0956,0.149,NA,0.9275,NA,36.9,21.9,56.67,288.52,NA,0.1355,0.098,0.1548,0.0599,0.0435,0.0678,0.4192,13.19,4.91,12.84,207.25,NA,NA,"nothing",NA,NA,NA,NA,120,0.69,0.81,19,9611.707
3,2,"drought",20210527,NA,NA,8.46,1.03,6.0235,7.534,2.0047,NA,NA,NA,NA,NA,0.8161,NA,31.34,8.63,43.41,NA,5.9645,NA,NA,NA,NA,NA,NA,0.394,15.79,4.16,16.41,NA,4301.81,251.08,"Subset de pesada del día 27/05",124,1.09,"1.04",20,125,0.99,0.96,19,9423.626
5,1,"initial_state",20210505,NA,NA,NA,NA,6.4215,7.21,3.3457,NA,0.1646,0.1308,0.1662,1.0952,1.1159,NA,46.54,16.8,63.31,221.09,NA,0.181,0.12,0.1804,0.073,0.0575,0.0733,0.515,21.83,7.37,20.02,114.77,NA,NA,"FW_Sphl medido una vez retirada corteza y floema",123,1.31,"1.27",18,122,1.22,1.27,18,10047.822
6,1,"drought",20210527,NA,NA,7.25,0.92,6.4985,5.5462,1.2697,NA,0.1469,0.1305,0.1214,0.9756,1.3879,2.7931,36.2,9.1,45.22,NA,6.3445,0.1531,0.1335,0.1234,0.0656,0.0602,0.0569,0.5052,18.3,4.14,13.09,NA,4774.25,249.73,"nothing",114,0.9,"0.89",17,113,0.69,0.67,22,9824.473
11,1,"drought",20210520,0.73,1.39,8.3,1.25,6.086,11.7,2.8936,1.0388,0.1762,0.1653,0.1419,1.0461,1.0254,NA,63.79,21.87,NA,258.85,NA,0.1794,0.1693,0.1459,0.0809,0.0747,0.0652,0.4419,30.7,9.03,NA,199.44,NA,NA,"nothing",116,1.28,"1.26",17,113,1.15,1.14,15,12584.726
12,2,"moderate drought",20210608,NA,NA,7.81,1.22,6.749,10.2305,4.674,NA,0.1205,0.1644,0.1148,0.923,1.072,5.0274,45.83,13.36,NA,182.41,NA,0.1629,0.1674,0.1185,0.0793,0.0801,0.0562,0.5303,25.35,6.58,NA,126.2,NA,NA,"nothing",126,1.42,"1.52",25,125,1.48,1.36,24,10909.423
13,2,"initial_state",20210504,NA,NA,NA,NA,6.656,12.2896,1.0845,NA,0.2235,0.2362,0.1656,1.7344,1.4877,NA,53.41,27.92,68.91,178.32,NA,0.201,0.2395,0.1685,0.0966,0.1028,0.073,0.6259,20.25,6.81,20.74,136.71,NA,NA,"nothing",120.5,1.35,"1.26",20,122,1.22,1.26,20,14661.286
14,1,"drought",20210609,1.1,1.37,10.12,1.33,5.179,13.8357,4.6039,1.502,0.1649,0.1299,0.1784,0.9241,1.1765,5.234,63.97,24,111.69,NA,4.9305,0.1845,0.143,0.1948,0.0856,0.0674,0.0932,0.5951,34.69,11.98,43.25,NA,4181.68,234.46,"nothing",123,1.45,"1.5",20,118.5,1.29,1.31,19,16356.815
18,1,"initial_state",20210505,NA,NA,NA,NA,6.489,12.7304,3.3235,NA,0.1603,0.154,0.1377,1.5833,1.1674,NA,31.02,7.51,68.26,248.47,NA,0.182,0.1684,0.148,0.0712,0.0688,0.0607,0.5363,14.26,3.04,18.91,176.12,NA,280.4,"nothing",112,1.44,"1.46",14,109,1.43,1.44,13,NA
20,2,"control",20210601,NA,NA,9.42,1.66,6.034,15.1485,4.3201,NA,0.2019,0.2303,0.1926,2.0989,1.0256,6.231,76.49,17.98,100.21,NA,5.7855,0.2034,0.2332,0.1954,0.0887,0.1017,0.0786,0.4578,36.34,7.95,28.76,NA,4484.41,233.65,"nothing",132,1.67,"1.75",18,128,1.31,1.42,18,10745.281
