ID_plant,phytotron,date,height_cm,stem_width_1_cm,stem_width_2_cm,branching,OBS
2,2,20210504,NA,NA,NA,NA,destructive harvest
13,2,20210504,120.5,1.35,1.26,20,destructive harvest
63,2,20210504,142,1.77,1.85,24,destructive harvest
84,2,20210504,118,1.04,1.07,22,destructive harvest
95,2,20210504,127,1.35,1.36,29,destructive harvest
5,1,20210505,123,1.31,1.27,18,destructive harvest
18,1,20210505,112,1.44,1.46,14,destructive harvest
67,1,20210505,116,1.27,1.22,26,destructive harvest
72,1,20210505,110,1.16,1.16,29,destructive harvest
87,1,20210505,132,1.67,1.67,24,destructive harvest
44,1,20210518,120,1.18,1.24,24,destructive harvest
70,1,20210518,127,1.1,1.05,18,destructive harvest
118,1,20210518,122,1.23,1.22,23,destructive harvest
56,2,20210518,121,1.48,1.54,23,destructive harvest
103,2,20210518,127,1.06,1.17,16,destructive harvest
109,2,20210518,121,1.59,1.62,24,destructive harvest
105,1,20210608,123,1.31,1.14,20,"Final measurement, not harvested"
38,2,20210608,119,1,1.1,8,"Final measurement, not harvested"
78,1,20210608,126,1.5,1.35,18,"Final measurement, not harvested"
19,2,20210608,125,1.34,1.37,18,"Final measurement, not harvested"
22,1,20210608,117,1.46,1.58,18,"Final measurement, not harvested"
73,1,20210608,124,1.25,0.137,18,"Final measurement, not harvested"
9,2,20210608,127,1.05,1.1,14,"Final measurement, not harvested"
79,2,20210608,122,1.48,1.41,25,"Final measurement, not harvested"
71,1,20210608,119,1.29,1.22,14,"Final measurement, not harvested"
8,2,20210608,130,1.18,1.17,17,"Final measurement, not harvested"
49,1,20210608,115,1.7,1.67,11,"Final measurement, not harvested"
7,1,20210608,109,1.53,1.37,24,"Final measurement, not harvested"
60,1,20210608,121,1.2,1.3,11,"Final measurement, not harvested"
76,2,20210608,118,1.13,1.13,22,"Final measurement, not harvested"
43,1,20210608,128,1.47,1.48,25,"Final measurement, not harvested"
16,1,20210608,105,1.27,1.3,16,"Final measurement, not harvested"
74,2,20210608,121,1.4,1.44,29,"Final measurement, not harvested"
108,2,20210608,125,1.43,1.39,23,"Final measurement, not harvested"
82,1,20210608,127,1.44,1.4,20,"Final measurement, not harvested"
30,2,20210608,114,1.2,1.37,25,"Final measurement, not harvested"
91,2,20210608,115,1.29,1.3,16,"Final measurement, not harvested"
47,2,20210608,116,1.74,1.75,25,"Final measurement, not harvested"
10,2,20210608,117,1.25,1.16,24,"Final measurement, not harvested"
1,2,20210608,126,1.67,1.59,19,"Final measurement, not harvested"
15,1,20210608,119,1.32,1.27,14,"Final measurement, not harvested"
113,1,20210608,127,1.74,1.7,22,"Final measurement, not harvested"
26,1,20210608,132,1.5,1.53,21,"Final measurement, not harvested"
53,1,20210608,121,1.59,1.67,25,"Final measurement, not harvested"
21,2,20210519,128,1.34,1.29,28,destructive harvest
37,2,20210519,130,1.74,1.68,26,destructive harvest
92,2,20210519,127,1.39,1.35,23,destructive harvest
98,2,20210519,144,1.59,1.63,25,destructive harvest
106,2,20210519,121,1.35,1.48,21,destructive harvest
83,2,20210608,124,1.4,1.41,22,"Final measurement, not harvested"
48,1,20210608,117,1.42,1.65,13,"Final measurement, not harvested"
117,1,20210608,122,147,º.46,25,"Final measurement, not harvested"
66,2,20210608,122,1.41,1.37,26,"Final measurement, not harvested"
27,1,20210627,125,1.46,1.46,15,"Final measurement, not harvested. Fueron medidas por Nerea días después de que se la llevara, el diámetro es calculado a partir de valores de perímetro."
59,1,20210627,114,1.18,1.18,20,"Final measurement, not harvested. Fueron medidas por Nerea días después de que se la llevara, el diámetro es calculado a partir de valores de perímetro."
90,1,20210627,135,1.69,1.69,19,"Final measurement, not harvested. Fueron medidas por Nerea días después de que se la llevara, el diámetro es calculado a partir de valores de perímetro. Había dos etiquetas en esta maceta."
28,2,20210602,126,1.72,1.6,21,destructive harvest
77,2,20210602,109,1.54,1.45,21,destructive harvest
107,2,20210602,107,1.68,1.57,20,destructive harvest
25,1,20210603,144,1.72,1.73,17,destructive harvest
112,1,20210603,126,1.77,1.71,27,destructive harvest
101,1,20210603,131,1.44,1.42,25,destructive harvest
96,1,20210525,122,1.38,1.37,16,destructive harvest
119,1,20210525,130,1.54,1.54,26,destructive harvest
120,1,20210525,111,1.35,1.35,27,destructive harvest
65,2,20210525,122,1.42,1.42,25,destructive harvest
