campaign,id_plant,phyto,treatment_co2,treatment_h2o,water_treatment,date_i,initial_height_cm,initial_stem_width_1_cm,initial_stem_width_2_cm,initial_branching,date_f,height_cm,stem_width_1_cm,stem_width_2_cm,branching,OBS,n_days
0,1,2,ambient,moderate_drought,control,20210420,125,1.49,1.45,19,20210608,126,1.67,1.59,19,"Final measurement, not harvested",49
1,2,2,ambient,control,control,20210420,120,0.69,0.81,19,20210504,9999,9999,9999,9999,destructive harvest,14
0,3,2,ambient,drought,drought,20210420,125,0.99,0.96,19,20210527,124,1.09,1.04,20,destructive harvest,37
0,4,2,ambient,drought_test,drought,20210420,123,0.95,0.96,18,99999999,9999,9999,9999,9999,NA,9999
1,5,1,elevated,control,control,20210420,122,1.22,1.27,18,20210505,123,1.31,1.27,18,destructive harvest,15
3,6,1,elevated,drought,drought,20210420,113,0.69,0.67,22,20210527,114,0.9,0.89,17,destructive harvest,37
0,7,1,elevated,control,control,20210420,132,0.9,0.96,20,20210608,109,1.53,1.37,24,"Final measurement, not harvested",49
0,8,2,ambient,drought,drought,20210420,128,1.11,1.11,17,20210608,130,1.18,1.17,17,"Final measurement, not harvested",49
0,9,2,ambient,drought,drought,20210420,123,0.87,0.88,13,20210608,127,1.05,1.1,14,"Final measurement, not harvested",49
0,10,2,ambient,control,control,20210420,117,1.01,1.13,24,20210608,117,1.25,1.16,24,"Final measurement, not harvested",49
2,11,1,elevated,drought,drought,20210420,113,1.15,1.14,15,20210520,116,1.28,1.26,17,destructive harvest,30
5,12,2,ambient,moderate_drought,control,20210420,125,1.48,1.36,24,20210608,126,1.42,1.52,25,destructive harvest,49
1,13,2,ambient,control,control,20210420,122,1.22,1.26,20,20210504,120.5,1.35,1.26,20,destructive harvest,14
5,14,1,elevated,drought,drought,20210420,118.5,1.29,1.31,19,20210609,123,1.45,1.5,20,destructive harvest,50
0,15,1,elevated,drought,drought,20210420,113,1.11,1.09,1,20210608,119,1.32,1.27,14,"Final measurement, not harvested",49
0,16,1,elevated,drought,drought,20210420,111.5,1,1.06,17,20210608,105,1.27,1.3,16,"Final measurement, not harvested",49
0,17,1,elevated,drought,drought,20210420,111,1.1,1.15,24,99999999,9999,9999,9999,9999,NA,9999
1,18,1,elevated,control,control,20210420,109,1.43,1.44,13,20210505,112,1.44,1.46,14,destructive harvest,15
0,19,2,ambient,drought,drought,20210420,123,1.22,1.35,18,20210608,125,1.34,1.37,18,"Final measurement, not harvested",49
4,20,2,ambient,control,control,20210420,128,1.31,1.42,18,20210601,132,1.67,1.75,18,destructive harvest,45
2,21,2,ambient,drought,drought,20210420,128,1.31,1.25,28,20210519,128,1.34,1.29,28,destructive harvest,29
0,22,1,elevated,drought,drought,20210420,121.5,1.51,1.43,22,20210608,117,1.46,1.58,18,"Final measurement, not harvested",49
0,23,2,ambient,drought,drought,20210420,110,0.92,0.95,15,20210527,111,1.03,1.05,14,destructive harvest,37
5,24,2,ambient,drought,drought,20210420,115,1.24,1.31,17,20210608,111,1.32,1.47,22,destructive harvest,49
4,25,1,elevated,drought,drought,20210420,139,1.6,1.59,19,20210603,144,1.72,1.73,17,destructive harvest,44
0,26,1,elevated,moderate_drought,control,20210420,128,1.31,1.3,21,20210608,132,1.5,1.53,21,"Final measurement, not harvested",49
0,27,1,elevated,drought,drought,20210420,116.5,1,1.1,21,20210627,125,1.46,1.46,15,"Final measurement, not harvested. Fueron medidas por Nerea días después de que se la llevara, el diámetro es calculado a partir de valores de perímetro.",68
4,28,2,ambient,drought,drought,20210420,126,1.66,1.58,24,20210602,126,1.72,1.6,21,destructive harvest,43
0,29,2,ambient,drought_test,drought,20210420,124,1.31,1.28,29,99999999,9999,9999,9999,9999,NA,9999
0,30,2,ambient,drought,drought,20210420,117,1.04,1.17,27,20210608,114,1.2,1.37,25,"Final measurement, not harvested",49
5,31,2,ambient,control,control,20210420,133,1.63,1.71,23,20210607,137,1.78,1.76,21,destructive harvest,48
0,32,1,elevated,drought,drought,20210420,121,1.6,1.66,22,99999999,9999,9999,9999,9999,NA,9999
0,33,2,ambient,drought,drought,20210420,127,1.37,1.42,19,20210527,124,1.49,1.54,18,destructive harvest,37
2,34,1,elevated,drought,drought,20210420,136,1.41,1.46,23,20210520,136,1.63,1.61,22,destructive harvest,30
3,35,1,elevated,drought,drought,20210420,112,1.23,1.21,20,20210527,112,1.36,1.41,20,destructive harvest,37
4,36,1,elevated,control,control,20210420,118,1.91,1.09,27,20210601,119,1.35,1.36,26,destructive harvest,42
2,37,2,ambient,drought,drought,20210420,126,1.62,1.54,26,20210519,130,1.74,1.68,26,destructive harvest,29
0,38,2,ambient,drought,drought,20210420,116,1.1,1.08,16,20210608,119,1,1.1,8,"Final measurement, not harvested",49
5,39,1,elevated,moderate_drought,control,20210420,108.5,1.16,1.23,20,20210609,109,1.44,1.04,21,destructive harvest,50
5,40,2,ambient,control,control,20210420,120,1.87,1.76,18,20210607,122,2.05,1.86,25,destructive harvest,48
0,41,2,ambient,drought,drought,20210420,99,1.04,1,21,20210527,101,1,1.16,20,destructive harvest,37
4,42,2,ambient,control,control,20210420,119,1.03,1.12,19,20210601,120,1.25,1.32,18,destructive harvest,46
0,43,1,elevated,drought,drought,20210420,125,1.4,1.37,24,20210608,128,1.47,1.48,25,"Final measurement, not harvested",49
2,44,1,elevated,control,control,20210420,111,1.07,1,23,20210518,120,1.18,1.24,24,destructive harvest,28
2,45,1,elevated,drought,drought,20210420,109,1.58,1.48,18,20210520,116,1.63,1.7,18,destructive harvest,30
5,46,1,elevated,drought,drought,20210420,117,0.99,1.01,0,20210609,122,1.1,1.1,18,destructive harvest,50
0,47,2,ambient,moderate_drought,control,20210420,119,1.51,1.6,25,20210608,116,1.74,1.75,25,"Final measurement, not harvested",49
0,48,1,elevated,control,control,20210420,115,1.49,1.55,0,20210608,117,1.42,1.65,13,"Final measurement, not harvested",49
0,49,1,elevated,drought,drought,20210420,109,1.6,1.56,0,20210608,115,1.7,1.67,11,"Final measurement, not harvested",49
3,50,1,elevated,drought,drought,20210420,123,1.75,1.58,23,20210527,121,1.74,1.87,23,destructive harvest,37
5,51,2,ambient,moderate_drought,control,20210420,116,1.78,1.76,34,20210608,119,1.9,1.85,29,destructive harvest,49
2,52,1,elevated,drought,drought,20210420,121.5,1.17,1.3,26,20210520,123,1.42,1.32,24,destructive harvest,30
0,53,1,elevated,moderate_drought,control,20210420,117,1.26,1.3,28,20210608,121,1.59,1.67,25,"Final measurement, not harvested",49
5,54,1,elevated,control,control,20210420,109,1.5,1.4,21,20210610,112,1.69,1.73,22,destructive harvest,51
0,55,1,elevated,drought,drought,20210420,129,1.78,1.93,31,99999999,9999,9999,9999,9999,NA,9999
2,56,2,ambient,control,control,20210420,123,1.45,1.36,28,20210518,121,1.48,1.54,23,destructive harvest,28
3,57,2,ambient,drought,drought,20210420,114,1.53,1.12,18,20210526,112,1.64,1.67,15,destructive harvest,36
5,58,1,elevated,moderate_drought,control,20210420,125,1.15,1.18,14,20210609,125,1.56,1.48,21,destructive harvest,50
0,59,1,elevated,drought_test,drought,20210420,116.5,0.86,0.94,24,20210627,114,1.18,1.18,20,"Final measurement, not harvested. Fueron medidas por Nerea días después de que se la llevara, el diámetro es calculado a partir de valores de perímetro.",68
0,60,1,elevated,drought,drought,20210420,113,0.9,1.1,12,20210608,121,1.2,1.3,11,"Final measurement, not harvested",49
5,61,1,elevated,control,control,20210420,119.5,1.46,1.45,21,20210610,119,1.69,1.73,22,destructive harvest,51
