phytotron,ID_plant,water_treatment1,water_treatment,date_i,initial_height_cm,initial_stem_width_1_cm,initial_stem_width_2_cm,initial_stem_width_mean,initial_branching,initial_r^2,initial_vol,date_f,height_cm,stem_width_1_cm,stem_width_2_cm,stem_width_mean,branching,r^2,vol,OBS,n_days,diff_vol,diff_vol_corrections,DAYS_diff_vol_corrections
1,67,control,control,20210420,113,1.19,1.26,1.225,18,0.37515625,44.39348581,20210505,116,1.27,1.22,1.245,26,0.38750625,47.07228914,destructive harvest,15,2.678803331,2.678803331,0.178586889
1,72,control,control,20210420,114,1,1.01,1.005,29,0.25250625,30.14432764,20210505,110,1.16,1.16,1.16,29,0.3364,38.75049818,destructive harvest,15,8.606170545,8.606170545,0.573744703
1,44,control,control,20210420,111,1.07,1,1.035,23,0.26780625,31.12951146,20210518,120,1.18,1.24,1.21,24,0.366025,45.99605804,destructive harvest,28,14.86654658,14.86654658,0.530948092
1,70,control,control,20210420,127.5,0.94,0.99,0.965,18,0.23280625,31.0837522,20210518,127,1.1,1.05,1.075,18,0.28890625,38.42282353,destructive harvest,28,7.339071326,7.339071326,0.26210969
1,118,control,control,20210420,115,1.03,1.02,1.025,21,0.26265625,31.63109291,20210518,122,1.23,1.22,1.225,23,0.37515625,47.92925017,destructive harvest,28,16.29815726,16.29815726,0.582077045
1,96,control,control,20210420,119,1.22,1.22,1.22,13,0.3721,46.36980285,20210525,122,1.38,1.37,1.375,16,0.47265625,60.38566504,destructive harvest,35,14.01586219,14.01586219,0.400453206
1,119,control,control,20210420,128,1.4,1.35,1.375,25,0.47265625,63.35545185,20210525,130,1.54,1.54,1.54,26,0.5929,80.71484565,destructive harvest,35,17.35939381,17.35939381,0.49598268
1,120,control,control,20210420,110.5,1.15,1.2,1.175,24,0.34515625,39.93986917,20210525,111,1.35,1.35,1.35,27,0.455625,52.96136165,destructive harvest,35,13.02149249,13.02149249,0.372042643
1,36,control,control,20210420,118,1.91,1.09,1.5,27,0.5625,69.50773746,20210601,119,1.35,1.36,1.355,26,0.45900625,57.1997563,destructive harvest,42,-12.30798116,0,0
1,68,control,control,20210420,125,1.26,1.22,1.24,28,0.3844,50.31784233,20210602,125,1.45,1.44,1.445,26,0.52200625,68.33045834,destructive harvest,43,18.012616,18.012616,0.418898047
1,111,control,control,20210420,118,1.21,1.17,1.19,18,0.354025,43.74662534,20210603,119,1.22,1.41,1.315,19,0.43230625,53.87249552,destructive harvest,44,10.12587018,10.12587018,0.230133413
1,7,control,control,20210420,132,0.9,0.96,0.93,20,0.216225,29.88879835,20210608,109,1.53,1.37,1.45,24,0.525625,59.9972202,"Final measurement, not harvested",49,30.10842185,30.10842185,0.614457589
1,26,control,control,20210420,128,1.31,1.3,1.305,21,0.42575625,57.06891551,20210608,132,1.5,1.53,1.515,21,0.57380625,79.31728198,"Final measurement, not harvested",49,22.24836647,22.24836647,0.454048295
1,48,control,control,20210420,115,1.49,1.55,1.52,0,0.5776,69.55905014,20210608,117,1.42,1.65,1.535,13,0.58905625,72.17241671,"Final measurement, not harvested",49,2.613366574,2.613366574,0.053334012
1,53,control,control,20210420,117,1.26,1.3,1.28,28,0.4096,50.18505769,20210608,121,1.59,1.67,1.63,25,0.664225,84.16455001,"Final measurement, not harvested",49,33.97949232,33.97949232,0.693459027
1,113,control,control,20210420,126,1.45,1.49,1.47,22,0.540225,71.28100943,20210608,127,1.74,1.7,1.72,22,0.7396,98.36242823,"Final measurement, not harvested",49,27.08141879,27.08141879,0.552682016
1,117,control,control,20210420,116,1.16,1.2,1.18,18,0.3481,42.28541824,20210608,122,1.47,1.46,1.465,25,0.53655625,68.54940771,"Final measurement, not harvested",49,26.26398947,26.26398947,0.535999785
