ID_plant,sampling_date,long_Shist,diam_Shist,long_Sphl,diam_Sphl,TW_plant_kg,FW_Sphl,FW_SNSC,FW_Shist,FW_L1phl,FW_L2phl,FW_L3phl,FW_10LNSC,FW_10LSLA,FW_rootNSC,FW_S,FW_L,FW_root,FW_ss_soil,FW_soil_pot_kg,SW_L1phl,SW_L2phl,SW_L3phl,DW_L1phl,DW_L2phl,DW_L3phl,DW_10LSLA,DW_S,DW_L,DW_root,DW_ss_soil,DW_soil,W_pot,OBS
2,20210504,9999.0000,9999.0000,9999.0000,9999.0000,7.3915,6.2117,0.6429,9999.0000,0.1305,0.0956,0.1490,9999.0000,0.9275,9999.0000,36.9000,21.9000,56.6700,288.5200,9999,0.1355,0.0980,0.1548,0.0599,0.0435,0.0678,0.4192,13.1900,4.9100,12.8400,207.2500,9999.0000,9999.0000,nothing
3,20210527,9999,9999,8.46,1.03,6.0235,7.534,2.0047,9999,9999,9999,9999,9999,0.8161,9999,31.34,8.63,43.41,9999,5.9645,9999,9999,9999,9999,9999,9999,0.394,15.79,4.16,16.41,9999,4301.81,251.08,Subset de pesada del día 27/05
5,20210505,9999.0000,9999.0000,9999.0000,9999.0000,6.4215,7.21,3.3457,9999.0000,0.1646,0.1308,0.1662,1.0952,1.1159,9999.0000,46.54,16.8,63.31,221.09,9999,0.181,0.12,0.1804,0.073,0.0575,0.0733,0.515,21.83,7.37,20.02,114.77,9999.0000,9999.0000,FW_Sphl medido u9999 vez retirada corteza y floema
6,20210527,9999,9999,7.25,0.92,6.4985,5.5462,1.2697,9999,0.1469,0.1305,0.1214,0.9756,1.3879,2.7931,36.2,9.1,45.22,9999,6.3445,0.1531,0.1335,0.1234,0.0656,0.0602,0.0569,0.5052,18.3,4.14,13.09,9999,4774.25,249.73,nothing
11,20210520,0.73,1.39,8.3,1.25,6.086,11.7,2.8936,1.0388,0.1762,0.1653,0.1419,1.0461,1.0254,9999,63.79,21.87,9999,258.85,9999,0.1794,0.1693,0.1459,0.0809,0.0747,0.0652,0.4419,30.7,9.03,9999,199.44,9999.0000,9999,nothing
12,20210608,9999,9999,7.81,1.22,6.749,10.2305,4.674,9999,0.1205,0.1644,0.1148,0.923,1.072,5.0274,45.83,13.36,9999,182.41,9999,0.1629,0.1674,0.1185,0.0793,0.0801,0.0562,0.5303,25.35,6.58,9999,126.2,9999.0000,9999,nothing
13,20210504,9999.0000,9999.0000,9999.0000,9999.0000,6.6560,12.2896,1.0845,9999.0000,0.2235,0.2362,0.1656,1.7344,1.4877,9999.0000,53.4100,27.9200,68.9100,178.3200,9999,0.2010,0.2395,0.1685,0.0966,0.1028,0.0730,0.6259,20.2500,6.8100,20.7400,136.7100,9999.0000,9999.0000,nothing
14,20210609,1.1,1.37,10.12,1.33,5.179,13.8357,4.6039,1.502,0.1649,0.1299,0.1784,0.9241,1.1765,5.234,63.97,24,111.69,9999,4.9305,0.1845,0.143,0.1948,0.0856,0.0674,0.0932,0.5951,34.69,11.98,43.25,9999,4181.68,234.46,nothing
18,20210505,9999.0000,9999.0000,9999.0000,9999.0000,6.489,12.7304,3.3235,9999.0000,0.1603,0.154,0.1377,1.5833,1.1674,9999.0000,31.02,7.51,68.26,248.47,9999,0.182,0.1684,0.148,0.0712,0.0688,0.0607,0.5363,14.26,3.04,18.91,176.12,9999.0000,280.4,nothing
20,20210601,9999,9999,9.42,1.66,6.034,15.1485,4.3201,9999,0.2019,0.2303,0.1926,2.0989,1.0256,6.231,76.49,17.98,100.21,9999,5.7855,0.2034,0.2332,0.1954,0.0887,0.1017,0.0786,0.4578,36.34,7.95,28.76,9999,4484.41,233.65,nothing
21,20210519,1.06,1.01,9.24,1.24,6.0025,9999,2.5123,0.9268,0.1072,0.1076,0.0752,1.0751,0.8581,3.1542,48.84,19.15,9999,249.27,9999,0.1107,0.1125,0.0799,0.0488,0.0474,0.0341,0.392,23.43,8.45,9999,193.46,9999.0000,9999,nothing
23,20210527,9999,9999,9.34,0.9,5.5275,7.2485,2.375,9999,9999,9999,9999,9999,1.1006,9999,37.31,16.59,78.04,9999,5.3725,9999,9999,9999,9999,9999,9999,0.5235,18.32,7.85,24.8,9999,4433.29,237.53,Subset de pesada del día 27/05
