campaign,file_name,area
1,20210504_13,14661.286
1,20210504_2,9611.707
1,20210504_63,13927.879
1,20210504_84,9058.398
1,20210504_95,12568.935
1,20210505_5,10047.822
1,20210505_67,8837.956
1,20210505_72,12401.959
1,20210505_87,9694.221
2,20210518_103,9964.493
2,20210518_109,10991.225
2,20210518_118,12654.025
2,20210518_44,9243.05
2,20210518_56,9699.795
2,20210518_70,14114.834
2,20210519_106,7359.66
2,20210519_21,8675.173
2,20210519_37,13025.253
2,20210519_92,10121.802
2,20210519_98,8116.581
2,20210520_11,12584.726
2,20210520_34,8380.597
2,20210520_45,11035.051
2,20210520_52,12126.325
2,20210520_85,9605.306
3,20210525_119,8434.746
3,20210525_120,10052.561
3,20210525_65,9645.164
3,20210525_86,13953.001
3,20210525_88,10319.735
3,20210525_96,13383.166
3,20210526_100,7141.444
3,20210526_102,16343.191
3,20210526_57,8581.36
3,20210526_97,10863.934
3,20210526_99,8991.484
3,20210527_104,13050.879
3,20210527_23,10890.059
3,20210527_3,9423.626
3,20210527_33,14092.248
3,20210527_35,11453.288
3,20210527_41,10327.183
3,20210527_50,9707.445
3,20210527_6,9824.473
3,20210527_69,11500.731
3,20210527_75,10971.997
4,20210601_110,10926.51
4,20210601_111,9644.655
4,20210601_20,10745.281
4,20210601_36,9877.712
4,20210601_42,13396.429
4,20210601_68,11190.162
4,20210602_107,10379.588
4,20210602_28,10759.004
4,20210602_77,7507.553
4,20210603_101,12292.978
4,20210603_112,9939.781
4,20210603_25,12501.28
5,20210607_31,10215.906
5,20210607_40,10273.334
5,20210607_64,13998.584
5,20210607_80,9189.367
5,20210608_116,7330.488
5,20210608_12,10909.423
5,20210608_24,6365.298
5,20210608_51,9860.214
5,20210608_81,10715.193
5,20210609_14,16356.815
5,20210609_39,13601.135
5,20210609_46,7307.604
5,20210609_58,10781.32
5,20210609_93,11643.614
5,20210610_114,12220.203
5,20210610_54,10379.017
5,20210610_61,429316.081
5,20210610_89,10964.328
