"id_plant","date","weight_kg","timing","dryW_kg","phyto","treatment_co2","water_treatment","plant_in_pot","increment_g","day_incr"
3,2021-04-29,6.7345,"2_after watering",4.30181,2,"ambient","drought","yes",NA,NA
3,2021-05-03,6.73,"2_after watering",4.30181,2,"ambient","drought","yes",NA,NA
3,2021-05-06,6.6825,"1_before watering",4.30181,2,"ambient","drought","yes",47.5000000000003,3
3,2021-05-06,6.802,"2_after watering",4.30181,2,"ambient","drought","yes",NA,NA
3,2021-05-07,6.7285,"1_before watering",4.30181,2,"ambient","drought","yes",73.4999999999992,1
3,2021-05-10,6.652,"1_before watering",4.30181,2,"ambient","drought","yes",76.5000000000002,3
3,2021-05-10,6.8395,"2_after watering",4.30181,2,"ambient","drought","yes",NA,NA
3,2021-05-12,6.7275,"1_before watering",4.30181,2,"ambient","drought","yes",112,2
3,2021-05-12,6.902,"2_after watering",4.30181,2,"ambient","drought","yes",NA,NA
3,2021-05-17,6.676,"1_before watering",4.30181,2,"ambient","drought","yes",226,5
3,2021-05-20,6.436,"1_before watering",4.30181,2,"ambient","drought","yes",240,3
3,2021-05-24,6.18,"1_before watering",4.30181,2,"ambient","drought","yes",256,4
3,2021-05-27,6.0235,"1_before watering",4.30181,2,"ambient","drought","yes",156.499999999999,3
6,2021-04-30,7.155,"2_after watering",4.77425,1,"elevated","drought","yes",NA,NA
6,2021-05-04,6.9465,"1_before watering",4.77425,1,"elevated","drought","yes",208.5,4
6,2021-05-04,7.1925,"2_after watering",4.77425,1,"elevated","drought","yes",NA,NA
6,2021-05-07,7.0115,"1_before watering",4.77425,1,"elevated","drought","yes",181,3
6,2021-05-07,7.1695,"2_after watering",4.77425,1,"elevated","drought","yes",NA,NA
6,2021-05-10,7.0615,"1_before watering",4.77425,1,"elevated","drought","yes",108.000000000001,3
6,2021-05-10,7.22,"2_after watering",4.77425,1,"elevated","drought","yes",NA,NA
6,2021-05-13,7.013,"1_before watering",4.77425,1,"elevated","drought","yes",207,3
6,2021-05-13,7.202,"2_after watering",4.77425,1,"elevated","drought","yes",NA,NA
6,2021-05-17,7.0555,"1_before watering",4.77425,1,"elevated","drought","yes",146.5,4
6,2021-05-20,6.873,"1_before watering",4.77425,1,"elevated","drought","yes",182.5,3
6,2021-05-24,6.687,"1_before watering",4.77425,1,"elevated","drought","yes",186,4
6,2021-05-27,6.4985,"1_before watering",4.77425,1,"elevated","drought","yes",188.5,3
14,2021-04-30,6.643,"2_after watering",4.18168,1,"elevated","drought","yes",NA,NA
14,2021-05-04,6.3685,"1_before watering",4.18168,1,"elevated","drought","yes",274.5,4
14,2021-05-04,6.721,"2_after watering",4.18168,1,"elevated","drought","yes",NA,NA
14,2021-05-07,6.4915,"1_before watering",4.18168,1,"elevated","drought","yes",229.5,3
14,2021-05-07,6.8175,"2_after watering",4.18168,1,"elevated","drought","yes",NA,NA
14,2021-05-10,6.4645,"1_before watering",4.18168,1,"elevated","drought","yes",353,3
14,2021-05-10,6.8245,"2_after watering",4.18168,1,"elevated","drought","yes",NA,NA
14,2021-05-13,6.4785,"1_before watering",4.18168,1,"elevated","drought","yes",345.999999999999,3
14,2021-05-13,6.8345,"2_after watering",4.18168,1,"elevated","drought","yes",NA,NA
14,2021-05-17,6.4665,"1_before watering",4.18168,1,"elevated","drought","yes",368,4
14,2021-05-20,6.0665,"1_before watering",4.18168,1,"elevated","drought","yes",400,3
14,2021-05-24,5.669,"1_before watering",4.18168,1,"elevated","drought","yes",397.5,4
14,2021-05-27,5.487,"1_before watering",4.18168,1,"elevated","drought","yes",181.999999999999,3
14,2021-05-31,5.3615,"1_before watering",4.18168,1,"elevated","drought","yes",125.5,4
14,2021-06-03,5.283,"1_before watering",4.18168,1,"elevated","drought","yes",78.5,3
14,2021-06-09,5.179,"1_before watering",4.18168,1,"elevated","drought","yes",104,6
20,2021-04-29,6.921,"2_after watering",4.48441,2,"ambient","control","yes",NA,NA
20,2021-05-03,6.8655,"2_after watering",4.48441,2,"ambient","control","yes",NA,NA
20,2021-05-06,6.524,"1_before watering",4.48441,2,"ambient","control","yes",341.5,3
20,2021-05-06,6.8815,"2_after watering",4.48441,2,"ambient","control","yes",NA,NA
20,2021-05-07,6.9265,"1_before watering",4.48441,2,"ambient","control","yes",NA,1
20,2021-05-10,6.374,"1_before watering",4.48441,2,"ambient","control","yes",552.5,3
20,2021-05-10,6.745,"2_after watering",4.48441,2,"ambient","control","yes",NA,NA
20,2021-05-13,6.2475,"1_before watering",4.48441,2,"ambient","control","yes",497.500000000001,3
20,2021-05-13,6.9215,"2_after watering",4.48441,2,"ambient","control","yes",NA,NA
20,2021-05-17,6.323,"1_before watering",4.48441,2,"ambient","control","yes",598.5,4
20,2021-05-17,6.683,"2_after watering",4.48441,2,"ambient","control","yes",NA,NA
20,2021-05-20,6.1855,"1_before watering",4.48441,2,"ambient","control","yes",497.5,3
20,2021-05-20,6.554,"2_after watering",4.48441,2,"ambient","control","yes",NA,NA
20,2021-05-24,6.065,"1_before watering",4.48441,2,"ambient","control","yes",489,4
20,2021-05-24,6.402,"2_after watering",4.48441,2,"ambient","control","yes",NA,NA
20,2021-05-27,5.8525,"1_before watering",4.48441,2,"ambient","control","yes",549.5,3
20,2021-05-27,6.232,"2_after watering",4.48441,2,"ambient","control","yes",NA,NA
20,2021-05-31,5.736,"1_before watering",4.48441,2,"ambient","control","yes",496,4
20,2021-05-31,6.1085,"2_after watering",4.48441,2,"ambient","control","yes",NA,NA
20,2021-06-01,6.034,"1_before watering",4.48441,2,"ambient","control","yes",74.5000000000005,1
23,2021-04-29,6.9055,"2_after watering",4.43329,2,"ambient","drought","yes",NA,NA
23,2021-05-03,6.8955,"2_after watering",4.43329,2,"ambient","drought","yes",NA,NA
23,2021-05-06,6.6695,"1_before watering",4.43329,2,"ambient","drought","yes",226,3
23,2021-05-06,6.961,"2_after watering",4.43329,2,"ambient","drought","yes",NA,NA
23,2021-05-07,6.908,"1_before watering",4.43329,2,"ambient","drought","yes",52.9999999999999,1
23,2021-05-10,6.45,"1_before watering",4.43329,2,"ambient","drought","yes",458,3
23,2021-05-10,6.829,"2_after watering",4.43329,2,"ambient","drought","yes",NA,NA
23,2021-05-12,6.4695,"1_before watering",4.43329,2,"ambient","drought","yes",359.5,2
23,2021-05-12,6.872,"2_after watering",4.43329,2,"ambient","drought","yes",NA,NA
23,2021-05-17,6.279,"1_before watering",4.43329,2,"ambient","drought","yes",593,5
23,2021-05-20,5.914,"1_before watering",4.43329,2,"ambient","drought","yes",365,3
23,2021-05-24,5.653,"1_before watering",4.43329,2,"ambient","drought","yes",261,4
23,2021-05-27,5.5275,"1_before watering",4.43329,2,"ambient","drought","yes",125.5,3
24,2021-04-29,7.3195,"2_after watering",4.64498,2,"ambient","drought","yes",NA,NA
24,2021-05-03,7.297,"2_after watering",4.64498,2,"ambient","drought","yes",NA,NA
24,2021-05-06,7.148,"1_before watering",4.64498,2,"ambient","drought","yes",149,3
24,2021-05-06,7.3705,"2_after watering",4.64498,2,"ambient","drought","yes",NA,NA
24,2021-05-07,7.2885,"1_before watering",4.64498,2,"ambient","drought","yes",81.9999999999999,1
24,2021-05-10,7.14,"1_before watering",4.64498,2,"ambient","drought","yes",148.5,3
24,2021-05-10,7.3935,"2_after watering",4.64498,2,"ambient","drought","yes",NA,NA
24,2021-05-12,7.243,"1_before watering",4.64498,2,"ambient","drought","yes",150.5,2
