id_plant,phy,treatment_h2o,date,time,wp_mpa,obs
27,1,drought test,20210416,800,-0.6,nothing
59,1,drought test,20210416,800,-0.6,nothing
90,1,drought test,20210416,800,-0.71,nothing
4,2,drought test,20210416,800,-0.75,nothing
62,2,drought test,20210416,800,-1.2,nothing
29,2,drought test,20210416,800,-0.9,nothing
4,2,drought test,20210420,815,9999,broke leaf
29,2,drought test,20210420,815,-0.8,nothing
62,2,drought test,20210420,815,-0.84,nothing
59,1,drought test,20210420,815,-0.55,nothing
27,1,drought test,20210420,815,-0.45,nothing
90,1,drought test,20210420,815,-0.66,nothing
16,1,control,20210420,815,-0.52,nothing
17,1,control,20210420,815,-0.51,nothing
87,1,control,20210420,815,-0.44,nothing
13,2,control,20210420,815,-0.32,nothing
3,2,control,20210420,815,-0.48,nothing
100,2,control,20210420,815,-0.4,nothing
17,1,control,20210423,800,-0.23,nothing
16,1,control,20210423,800,9999,broke leaf
27,1,drought test WATERED,20210423,800,-0.34,plant watered the day before by mistake
59,1,drought test,20210423,800,-0.29,nothing
87,1,control,20210423,800,-0.29,nothing
90,1,drought test,20210423,800,-0.52,nothing
3,2,control,20210423,800,-0.55,nothing
13,2,control,20210423,800,-0.33,nothing
62,2,drought test,20210423,800,-0.49,nothing
100,2,control,20210423,800,-0.49,nothing
29,2,drought test,20210423,800,-0.39,nothing
4,2,drought test,20210423,800,-1.1,nothing
13,2,control,20210427,800,-0.79,problems with pressure regulator and visibility
100,2,control,20210427,800,-0.73,problems with pressure regulator and visibility
3,2,control,20210427,800,-0.27,nothing
4,2,drought test,20210427,800,-0.54,nothing
62,2,drought test,20210427,800,-0.49,nothing
29,2,drought test,20210427,800,-0.33,nothing
87,1,control,20210427,800,-0.55,very small petiole
16,1,control,20210427,800,-0.22,nothing
17,1,control,20210427,800,-0.28,nothing
59,1,drought test,20210427,800,-0.41,nothing
90,1,drought test,20210427,800,-0.49,nothing
3,2,control,20210430,800,-0.61,nothing
100,2,control,20210430,800,-0.24,nothing
13,2,control,20210430,800,-0.23,nothing
62,2,drought test,20210430,800,-0.48,nothing
4,2,drought test,20210430,800,-0.44,nothing
29,2,drought test,20210430,800,-0.53,nothing
17,1,control,20210430,800,-0.25,nothing
16,1,control,20210430,800,-0.39,nothing
87,1,control,20210430,800,-0.15,nothing
59,1,drought test,20210430,800,-0.46,nothing
90,1,drought test,20210430,800,-0.45,nothing
2,2,control,20210504,750,-0.396,nothing
13,2,control,20210504,750,-0.82,really low WP!!!
13,2,control,20210504,750,-0.8,really low WP!!!
63,2,control,20210504,750,-0.14,nothing
63,2,control,20210504,750,-0.3,nothing
84,2,control,20210504,750,-0.358,nothing
84,2,control,20210504,750,-0.33,nothing
95,2,control,20210504,750,-0.262,nothing
5,1,control,20210505,750,-0.192,nothing
5,1,control,20210505,750,-0.1,nothing
18,1,control,20210505,750,-0.216,nothing
18,1,control,20210505,750,-0.212,nothing
67,1,control,20210505,750,-0.25,nothing
67,1,control,20210505,750,-0.193,nothing
72,1,control,20210505,750,-0.169,nothing
72,1,control,20210505,750,-0.195,nothing
87,1,control,20210505,750,-0.158,nothing
87,1,control,20210505,750,-0.144,nothing
44,1,control,20210518,750,-0.158,nothing
70,1,control,20210518,750,-0.09,nothing
70,1,control,20210518,750,-0.185,nothing
118,1,control,20210518,750,-0.167,nothing
56,2,control,20210518,750,-0.087,nothing
103,2,control,20210518,750,-0.237,nothing
109,2,control,20210518,750,-0.127,nothing
109,2,control,20210518,750,-0.17,nothing
21,2,drought,20210519,750,-0.24,nothing
37,2,drought,20210519,750,-0.205,nothing
37,2,drought,20210519,750,-0.247,nothing
