phytotron,ID_plant,water_treatment1,water_treatment
2,1,control,control
2,2,control,control
2,3,drought,drought
2,4,drought_test,drought
1,5,drought,drought
1,6,drought,drought
1,7,control,control
2,8,drought,drought
2,9,drought,drought
2,10,control,control
1,11,drought,drought
2,12,moderate_drought,control
2,13,control,control
1,14,drought,drought
1,15,drought,drought
1,16,drought,drought
1,17,drought,drought
1,18,drought,drought
2,19,drought,drought
2,20,control,control
2,21,drought,drought
1,22,drought,drought
2,23,drought,drought
2,24,drought,drought
1,25,drought,drought
1,26,control,control
1,27,drought,drought
2,28,drought,drought
2,29,drought_test,drought
2,30,drought,drought
2,31,control,control
1,32,drought,drought
2,33,drought,drought
1,34,drought,drought
1,35,drought,drought
1,36,control,control
2,37,drought,drought
2,38,drought,drought
1,39,moderate_drought,control
2,40,control,control
2,41,drought,drought
2,42,control,control
1,43,drought,drought
1,44,control,control
1,45,drought,drought
1,46,drought,drought
2,47,control,control
1,48,control,control
1,49,drought,drought
1,50,drought,drought
2,51,moderate_drought,control
1,52,drought,drought
1,53,control,control
1,54,control,control
1,55,drought,drought
2,56,control,control
2,57,drought,drought
1,58,moderate_drought,control
1,59,drought_test,drought
1,60,drought,drought
1,61,control,control
2,62,drought_test,drought
2,63,drought,drought
2,64,control,control
2,65,control,control
2,66,drought,drought
1,67,control,control
1,68,control,control
1,69,drought,drought
1,70,control,control
1,71,drought,drought
1,72,control,control
1,73,drought,drought
2,74,drought,drought
2,75,drought,drought
2,76,drought,drought
2,77,drought,drought
1,78,drought,drought
2,79,drought,drought
2,80,control,control
2,81,moderate_drought,control
1,82,drought,drought
2,83,drought,drought
2,84,control,control
1,85,drought,drought
2,86,control,control
1,87,drought,drought
2,88,control,control
1,89,control,control
1,90,drought_test,drought
2,91,control,control
2,92,drought,drought
1,93,moderate_drought,control
2,94,drought,drought
2,95,drought,drought
1,96,control,control
2,97,drought,drought
2,98,drought,drought
2,99,drought,drought
2,100,drought,drought
1,101,drought,drought
2,102,drought,drought
2,103,control,control
1,104,drought,drought
1,105,drought,drought
2,106,drought,drought
2,107,drought,drought
2,108,drought,drought
2,109,control,control
2,110,control,control
1,111,control,control
1,112,drought,drought
1,113,control,control
1,114,control,control
1,115,drought,drought
2,116,drought,drought
1,117,control,control
1,118,control,control
1,119,control,control
1,120,control,control
