ID,weight_1,weight_2,weight_3,weight_4,total_g,Incorporado a Sampling,OBS
3,1229.39,1235.56,1836.86,0,4301.81,YES,NA
6,1654.72,1642.87,1476.66,0,4774.25,YES,NA
14,1391.57,1456.78,1333.33,0,4181.68,YES,NA
20,1473.45,1489.55,1521.41,0,4484.41,YES,NA
23,1419.72,1506.74,1506.83,0,4433.29,YES,NA
24,1593.95,1387.8,1663.23,0,4644.98,YES,NA
25,1488.22,1362.8,1414.95,0,4265.97,YES,NA
28,1288.36,1462.06,1223.82,0,3974.24,YES,NA
31,1229.42,1375.41,1214.45,648.66,4467.94,YES,NA
33,1411.85,1320.2,1140.35,0,3872.40,YES,NA
35,1324.33,1331.84,1377.7,0,4033.87,YES,NA
41,1258.59,1280.9,1487.6,0,4027.09,YES,NA
42,1310.24,1409.09,1373.47,0,4092.80,YES,NA
46,1477.71,1287.77,1269.67,0,4035.15,YES,NA
50,1565.84,1315.21,1371.76,0,4252.81,YES,NA
54,1291.52,1364.13,1349.25,0,4004.90,YES,NA
61,1358.92,1374.98,1285.96,0,4019.86,YES,NA
64,1432.11,1573.05,1543.37,0,4548.53,YES,NA
68,1291.29,1233.37,1419.65,0,3944.31,YES,NA
69,1787.15,1567.97,1652.64,0,5007.76,YES,NA
75,1559.15,1524.62,1719.63,0,4803.40,YES,NA
77,1891.98,1651.21,1500.45,0,5043.64,YES,NA
80,1424.57,1599.23,1663.14,0,4686.94,YES,NA
89,1571.39,1555.15,1611.55,0,4738.09,YES,NA
101,1530.76,1440.66,1611.31,0,4582.73,YES,NA
104,1715.6,1583.06,1550.03,0,4848.69,YES,NA
107,1498.19,1287.65,1800.23,0,4586.07,YES,NA
111,1511.15,1480.73,1544.38,0,4536.26,YES,NA
112,1552.34,1360.38,1374.09,0,4286.81,YES,NA
116,1470.32,1515.97,1532.84,0,4519.13,YES,NA
121,1270.36,1419.04,1193.69,0,3883.09,NO,Maceta sin planta. Control. Fito 2.
122,1088.21,1239.29,1268.87,0,3596.37,NO,Maceta sin planta. Sequía. Fito 2.
123,1475.34,1452.79,1590.59,0,4518.72,NO,Maceta sin planta. Sequía. Fito 2.
124,1390.94,1717.15,1585.32,0,4693.41,NO,Maceta sin planta. Sequía. Fito 2.
125,1416.77,1438.33,1459.04,0,4314.14,NO,Maceta sin planta. Control. Fito 2.
126,1164.29,1276.1,1317.42,0,3757.81,NO,Maceta sin planta. Sequía. Fito 1.
127,1178.2,1229.23,1419.03,0,3826.46,NO,Maceta sin planta. Control. Fito 1.
128,1186.62,1293.42,1319.79,0,3799.83,NO,Maceta sin planta. Sequía. Fito 1.
129,1294.67,1473.86,1418.13,0,4186.66,NO,Maceta sin planta. Sequía. Fito 1.
130,1174.85,1354.15,1098.21,0,3627.21,NO,Maceta sin planta. Control. Fito 1.
