plant_ID,date,weight_kg,timing,water_plate,OBS_weight
3,20210429,6.7345,unknnow,presumably no,nothing
20,20210429,6.921,unknnow,presumably no,nothing
23,20210429,6.9055,unknnow,presumably no,nothing
24,20210429,7.3195,unknnow,presumably no,nothing
28,20210429,6.2355,unknnow,presumably no,nothing
31,20210429,6.725,unknnow,presumably no,nothing
33,20210429,6.2685,unknnow,presumably no,nothing
41,20210429,6.5085,unknnow,presumably no,nothing
42,20210429,6.6465,unknnow,presumably no,nothing
75,20210429,6.9595,unknnow,presumably no,nothing
77,20210429,7.727,unknnow,presumably no,nothing
80,20210429,7.1895,unknnow,presumably no,nothing
107,20210429,7.2035,unknnow,presumably no,nothing
116,20210429,7.1125,unknnow,presumably no,nothing
6,20210430,7.155,unknnow,presumably no,nothing
14,20210430,6.643,unknnow,presumably no,nothing
25,20210430,6.7525,unknnow,presumably no,nothing
35,20210430,6.618,unknnow,presumably no,nothing
46,20210430,6.661,unknnow,presumably no,nothing
50,20210430,6.806,unknnow,presumably no,nothing
54,20210430,6.3700,unknnow,presumably no,nothing
61,20210430,6.6935,unknnow,presumably no,nothing
68,20210430,6.7095,unknnow,presumably no,nothing
69,20210430,7.1865,unknnow,presumably no,nothing
89,20210430,7.511,unknnow,presumably no,nothing
101,20210430,7.1555,unknnow,presumably no,nothing
104,20210430,7.4115,unknnow,presumably no,nothing
111,20210430,7.0995,unknnow,presumably no,nothing
112,20210430,6.811,unknnow,presumably no,nothing
3,20210503,6.73,unknnow,presumably no,nothing
20,20210503,6.8655,unknnow,presumably no,nothing
23,20210503,6.8955,unknnow,presumably no,nothing
24,20210503,7.2970,unknnow,presumably no,nothing
28,20210503,6.2640,unknnow,presumably no,nothing
31,20210503,6.6470,unknnow,presumably no,nothing
33,20210503,6.2640,unknnow,presumably no,nothing
41,20210503,6.5005,unknnow,presumably no,nothing
42,20210503,6.6250,unknnow,presumably no,nothing
64,20210503,6.8055,unknnow,presumably no,nothing
75,20210503,7,unknnow,presumably no,nothing
77,20210503,7.7070,unknnow,presumably no,nothing
80,20210503,7.1955,unknnow,presumably no,nothing
107,20210503,7.1915,unknnow,presumably no,nothing
116,20210503,7.1050,unknnow,presumably no,nothing
6,20210504,7.1925,after watering,presumably no,nothing
14,20210504,6.721,after watering,presumably no,nothing
25,20210504,6.729,after watering,presumably no,nothing
35,20210504,6.618,after watering,presumably no,nothing
46,20210504,6.6505,after watering,presumably no,nothing
50,20210504,6.8615,after watering,presumably no,nothing
54,20210504,6.3285,after watering,presumably no,nothing
61,20210504,6.704,after watering,presumably no,nothing
68,20210504,6.808,after watering,presumably no,nothing
69,20210504,7.149,after watering,no,nothing
89,20210504,7.4995,after watering,presumably no,nothing
101,20210504,7.097,after watering,presumably no,nothing
104,20210504,7.386,after watering,presumably no,nothing
111,20210504,7.0945,after watering,presumably no,nothing
112,20210504,6.8235,after watering,presumably no,nothing
6,20210504,6.9465,before watering,presumably no,nothing
14,20210504,6.3685,before watering,presumably no,nothing
25,20210504,6.3835,before watering,presumably no,nothing
35,20210504,6.413,before watering,presumably no,nothing
46,20210504,6.5345,before watering,presumably no,nothing
50,20210504,6.5435,before watering,presumably no,nothing
54,20210504,6.195,before watering,presumably no,nothing
61,20210504,6.383,before watering,presumably no,nothing
68,20210504,6.4595,before watering,presumably no,nothing
69,20210504,6.816,before watering,presumably no,nothing
89,20210504,7.327,before watering,presumably no,nothing
101,20210504,6.7845,before watering,presumably no,nothing
104,20210504,7.097,before watering,presumably no,nothing
111,20210504,6.942,before watering,presumably no,nothing
112,20210504,6.593,before watering,presumably no,nothing
3,20210506,6.802,after watering,presumably no,nothing
20,20210506,6.8815,after watering,no,nothing
23,20210506,6.961,after watering,presumably no,nothing
24,20210506,7.3705,after watering,presumably no,nothing
28,20210506,6.339,after watering,presumably no,nothing
31,20210506,6.678,after watering,no,nothing
33,20210506,6.3345,after watering,presumably no,nothing
41,20210506,6.561,after watering,presumably no,nothing
42,20210506,6.6785,after watering,presumably no,nothing
64,20210506,6.8765,after watering,presumably no,nothing
75,20210506,7.026,after watering,presumably no,nothing
77,20210506,7.782,after watering,presumably no,nothing
80,20210506,7.2545,after watering,presumably no,nothing
100,20210506,6.864,after watering,no,nothing
107,20210506,7.261,after watering,presumably no,nothing
116,20210506,7.1675,after watering,presumably no,nothing
121,20210506,6.117,after watering,presumably no,nothing
122,20210506,5.534,after watering,presumably no,nothing
123,20210506,6.5035,after watering,presumably no,nothing
124,20210506,7.027,after watering,presumably no,nothing
125,20210506,6.434,after watering,presumably no,nothing
3,20210506,6.6825,before watering,presumably no,nothing
20,20210506,6.524,before watering,presumably no,nothing
23,20210506,6.6695,before watering,presumably no,nothing
24,20210506,7.148,before watering,presumably no,nothing
28,20210506,5.986,before watering,presumably no,nothing
31,20210506,6.299,before watering,presumably no,nothing
33,20210506,6.0115,before watering,presumably no,nothing
41,20210506,6.404,before watering,presumably no,nothing
42,20210506,6.392,before watering,presumably no,nothing
64,20210506,6.5565,before watering,presumably no,nothing
75,20210506,6.6715,before watering,presumably no,nothing
77,20210506,7.51,before watering,presumably no,nothing
80,20210506,7.1185,before watering,presumably no,nothing
107,20210506,7.017,before watering,presumably no,nothing
116,20210506,6.942,before watering,presumably no,nothing
121,20210506,5.8475,before watering,presumably no,nothing
122,20210506,5.159,before watering,presumably no,nothing
123,20210506,6.141,before watering,presumably no,nothing
124,20210506,6.7815,before watering,presumably no,nothing
125,20210506,6.063,before watering,presumably no,nothing
6,20210507,7.1695,after watering,yes,nothing
14,20210507,6.8175,after watering,yes,nothing
25,20210507,6.791,after watering,yes,nothing
35,20210507,6.664,after watering,yes,nothing
46,20210507,6.699,after watering,yes,nothing
50,20210507,6.909,after watering,yes,nothing
54,20210507,6.388,after watering,no,nothing
61,20210507,6.767,after watering,yes,nothing
68,20210507,6.803,after watering,yes,nothing
69,20210507,7.2715,after watering,no,nothing
89,20210507,7.5455,after watering,yes,nothing
101,20210507,7.1505,after watering,presumably no,nothing
104,20210507,7.436,after watering,presumably no,nothing
111,20210507,7.1295,after watering,yes,nothing
112,20210507,6.877,after watering,yes,nothing
126,20210507,6.1745,after watering,yes,nothing
127,20210507,6.148,after watering,presumably no,regada con 525 mL
128,20210507,6.2495,after watering,yes,nothing
129,20210507,6.4145,after watering,presumably no,nothing
130,20210507,5.9985,after watering,yes,nothing
3,20210507,6.7285,24 after watering,yes,nothing
20,20210507,6.9265,24 after watering,no,nothing
23,20210507,6.908,24 after watering,yes,nothing
24,20210507,7.2885,24 after watering,yes,nothing
28,20210507,6.2715,24 after watering,no,nothing
31,20210507,6.7465,24 after watering,yes,nothing
