"ID_plant","N_days_w","campaign","CO2","water_treatment","rwc","leafID","FW","SW","DW","diff","maxDiff","isMax"
2,1,1,"ambient","control",0.933862433862434,"A",0.1305,0.1355,0.0599,0.005,0.0058,"no"
2,1,1,"ambient","control",0.955963302752294,"B",0.0956,0.098,0.0435,0.0024,0.0058,"no"
2,1,1,"ambient","control",0.933333333333333,"C",0.149,0.1548,0.0678,0.0058,0.0058,"yes"
3,15,3,"ambient","drought",NA,"A",NA,NA,NA,NA,-Inf,NA
3,15,3,"ambient","drought",NA,"B",NA,NA,NA,NA,-Inf,NA
3,15,3,"ambient","drought",NA,"C",NA,NA,NA,NA,-Inf,NA
5,1,1,"elevated","control",0.848148148148148,"A",0.1646,0.181,0.073,0.0164,0.0164,"yes"
5,1,1,"elevated","control",NA,"B",0.1308,NA,0.0575,NA,0.0164,NA
5,1,1,"elevated","control",0.867413632119514,"C",0.1662,0.1804,0.0733,0.0142,0.0164,"no"
6,14,3,"elevated","drought",0.929142857142857,"A",0.1469,0.1531,0.0656,0.00620000000000001,0.00620000000000001,"yes"
6,14,3,"elevated","drought",0.959072305593452,"B",0.1305,0.1335,0.0602,0.003,0.00620000000000001,"no"
6,14,3,"elevated","drought",0.969924812030075,"C",0.1214,0.1234,0.0569,0.002,0.00620000000000001,"no"
11,7,2,"elevated","drought",0.96751269035533,"A",0.1762,0.1794,0.0809,0.00320000000000001,0.004,"no"
11,7,2,"elevated","drought",0.957716701902748,"B",0.1653,0.1693,0.0747,0.004,0.004,"yes"
11,7,2,"elevated","drought",0.950433705080545,"C",0.1419,0.1459,0.0652,0.004,0.004,"yes"
12,7,5,"ambient","moderate drought",NA,"A",0.1205,NA,0.0793,NA,0.00369999999999999,NA
12,7,5,"ambient","moderate drought",0.965635738831615,"B",0.1644,0.1674,0.0801,0.003,0.00369999999999999,"no"
12,7,5,"ambient","moderate drought",0.940609951845907,"C",0.1148,0.1185,0.0562,0.00369999999999999,0.00369999999999999,"yes"
13,1,1,"ambient","control",NA,"A",0.2235,NA,0.0966,NA,0.0033,NA
13,1,1,"ambient","control",0.975859546452085,"B",0.2362,0.2395,0.1028,0.0033,0.0033,"yes"
