"id_plant","date","weight_kg","timing","estimated_weight_after","dryW_kg","phyto","treatment_co2","water_treatment","plant_in_pot","increment_g","day_incr","daily_transp","estimated_weight_before","daily_transp_est_20210506","daily_transp_est_20210603"
3,2021-04-29,6.7345,"2_after watering","no",4.30181,2,"ambient","drought","yes",NA,NA,NA,"no",NA,NA
3,2021-05-03,6.66666666666667,"1_before watering","no",4.30181,2,"ambient","drought","yes",63.3333333333338,4,NA,"yes",15.8333333333334,NA
3,2021-05-03,6.73,"2_after watering","no",4.30181,2,"ambient","drought","yes",NA,NA,NA,"no",NA,NA
3,2021-05-06,6.6825,"1_before watering","no",4.30181,2,"ambient","drought","yes",47.5000000000003,3,15.8333333333334,"no",15.8333333333334,NA
3,2021-05-06,6.802,"2_after watering","no",4.30181,2,"ambient","drought","yes",NA,NA,NA,"no",NA,NA
3,2021-05-07,6.7285,"1_before watering","no",4.30181,2,"ambient","drought","yes",73.4999999999992,1,73.4999999999992,"no",15.8333333333334,NA
3,2021-05-10,6.652,"1_before watering","no",4.30181,2,"ambient","drought","yes",76.5000000000002,3,25.5000000000001,"no",15.8333333333334,NA
3,2021-05-10,6.8395,"2_after watering","no",4.30181,2,"ambient","drought","yes",NA,NA,NA,"no",NA,NA
3,2021-05-12,6.7275,"1_before watering","no",4.30181,2,"ambient","drought","yes",112,2,56,"no",15.8333333333334,NA
3,2021-05-12,6.902,"2_after watering","no",4.30181,2,"ambient","drought","yes",NA,NA,NA,"no",NA,NA
3,2021-05-17,6.676,"1_before watering","no",4.30181,2,"ambient","drought","yes",226,5,45.2,"no",15.8333333333334,NA
3,2021-05-20,6.436,"1_before watering","no",4.30181,2,"ambient","drought","yes",240,3,80.0000000000001,"no",15.8333333333334,NA
3,2021-05-24,6.18,"1_before watering","no",4.30181,2,"ambient","drought","yes",256,4,64.0000000000001,"no",15.8333333333334,NA
3,2021-05-27,6.0235,"1_before watering","no",4.30181,2,"ambient","drought","yes",156.499999999999,3,52.1666666666665,"no",15.8333333333334,NA
6,2021-04-30,7.155,"2_after watering","no",4.77425,1,"elevated","drought","yes",NA,NA,NA,"no",NA,NA
6,2021-05-04,6.9465,"1_before watering","no",4.77425,1,"elevated","drought","yes",208.5,4,52.125,"no",NA,NA
6,2021-05-04,7.1925,"2_after watering","no",4.77425,1,"elevated","drought","yes",NA,NA,NA,"no",NA,NA
6,2021-05-07,7.0115,"1_before watering","no",4.77425,1,"elevated","drought","yes",181,3,60.3333333333333,"no",NA,NA
6,2021-05-07,7.1695,"2_after watering","no",4.77425,1,"elevated","drought","yes",NA,NA,NA,"no",NA,NA
6,2021-05-10,7.0615,"1_before watering","no",4.77425,1,"elevated","drought","yes",108.000000000001,3,36.0000000000002,"no",NA,NA
6,2021-05-10,7.22,"2_after watering","no",4.77425,1,"elevated","drought","yes",NA,NA,NA,"no",NA,NA
6,2021-05-13,7.013,"1_before watering","no",4.77425,1,"elevated","drought","yes",207,3,69,"no",NA,NA
6,2021-05-13,7.202,"2_after watering","no",4.77425,1,"elevated","drought","yes",NA,NA,NA,"no",NA,NA
6,2021-05-17,7.0555,"1_before watering","no",4.77425,1,"elevated","drought","yes",146.5,4,36.6249999999999,"no",NA,NA
6,2021-05-20,6.873,"1_before watering","no",4.77425,1,"elevated","drought","yes",182.5,3,60.8333333333334,"no",NA,NA
6,2021-05-24,6.687,"1_before watering","no",4.77425,1,"elevated","drought","yes",186,4,46.5,"no",NA,NA
6,2021-05-27,6.4985,"1_before watering","no",4.77425,1,"elevated","drought","yes",188.5,3,62.8333333333334,"no",NA,NA
14,2021-04-30,6.643,"2_after watering","no",4.18168,1,"elevated","drought","yes",NA,NA,NA,"no",NA,NA
14,2021-05-04,6.3685,"1_before watering","no",4.18168,1,"elevated","drought","yes",274.5,4,68.6249999999999,"no",NA,NA
14,2021-05-04,6.721,"2_after watering","no",4.18168,1,"elevated","drought","yes",NA,NA,NA,"no",NA,NA
14,2021-05-07,6.4915,"1_before watering","no",4.18168,1,"elevated","drought","yes",229.5,3,76.4999999999999,"no",NA,NA
14,2021-05-07,6.8175,"2_after watering","no",4.18168,1,"elevated","drought","yes",NA,NA,NA,"no",NA,NA
14,2021-05-10,6.4645,"1_before watering","no",4.18168,1,"elevated","drought","yes",353,3,117.666666666667,"no",NA,NA
14,2021-05-10,6.8245,"2_after watering","no",4.18168,1,"elevated","drought","yes",NA,NA,NA,"no",NA,NA
14,2021-05-13,6.4785,"1_before watering","no",4.18168,1,"elevated","drought","yes",345.999999999999,3,115.333333333333,"no",NA,NA
14,2021-05-13,6.8345,"2_after watering","no",4.18168,1,"elevated","drought","yes",NA,NA,NA,"no",NA,NA
14,2021-05-17,6.4665,"1_before watering","no",4.18168,1,"elevated","drought","yes",368,4,92.0000000000001,"no",NA,NA
14,2021-05-20,6.0665,"1_before watering","no",4.18168,1,"elevated","drought","yes",400,3,133.333333333333,"no",NA,NA
